"Barcode"	"Cluster"
"E06_E08_P1-G04_LIG175_6_1"	"E06_E08_P1-G04_LIG175_6_1"	"SRI"
"E06_E08_P1-G04_LIG205_6_1"	"E06_E08_P1-G04_LIG205_6_1"	"sAM"
"E06_E09_P1-G01_LIG346_6_1"	"E06_E09_P1-G01_LIG346_6_1"	"SRI"
"E06_E09_P1-G04_LIG215_6_1"	"E06_E09_P1-G04_LIG215_6_1"	"SRI"
"E06_E10_P3-G04_LIG29_6_1"	"E06_E10_P3-G04_LIG29_6_1"	"eAM"
"E10_A02_P3-G05_LIG152_6_1"	"E10_A02_P3-G05_LIG152_6_1"	"SRI"
"E10_A04_P1-G01_LIG67_6_1"	"E10_A04_P1-G01_LIG67_6_1"	"SRI"
"E10_A05_P1-G04_LIG248_6_1"	"E10_A05_P1-G04_LIG248_6_1"	"SRI"
"E10_A06_P3-G04_LIG4_6_1"	"E10_A06_P3-G04_LIG4_6_1"	"SRI"
"E10_A07_P3-G04_LIG357_6_1"	"E10_A07_P3-G04_LIG357_6_1"	"SRI"
"E10_A08_P1-G03_LIG151_6_1"	"E10_A08_P1-G03_LIG151_6_1"	"SRI"
"E10_A09_P1-G02_LIG166_6_1"	"E10_A09_P1-G02_LIG166_6_1"	"SRI"
"E10_A10_P1-G03_LIG196_6_1"	"E10_A10_P1-G03_LIG196_6_1"	"SRI"
"E10_A11_P1-G03_LIG25_6_1"	"E10_A11_P1-G03_LIG25_6_1"	"SRI"
"E10_A12_P1-G02_LIG316_6_1"	"E10_A12_P1-G02_LIG316_6_1"	"eAM"
"E11_B02_P1-G02_LIG119_6_1"	"E11_B02_P1-G02_LIG119_6_1"	"SRI"
"E11_B02_P3-G04_LIG138_6_1"	"E11_B02_P3-G04_LIG138_6_1"	"sAM"
"E11_B08_P1-G01_LIG277_6_1"	"E11_B08_P1-G01_LIG277_6_1"	"sAM"
"E11_B10_P3-G05_LIG35_6_1"	"E11_B10_P3-G05_LIG35_6_1"	"SRI"
"E11_B11_P1-G04_LIG125_6_1"	"E11_B11_P1-G04_LIG125_6_1"	"SRI"
"E11_B12_P1-G01_LIG49_6_1"	"E11_B12_P1-G01_LIG49_6_1"	"SRI"
"E11_F04_P1-G03_LIG22_6_1"	"E11_F04_P1-G03_LIG22_6_1"	"SRI"
"E11_F04_P1-G04_LIG18_6_1"	"E11_F04_P1-G04_LIG18_6_1"	"eAM"
"E11_F07_P1-G01_LIG275_6_1"	"E11_F07_P1-G01_LIG275_6_1"	"sAM"
"E11_F09_P1-G03_LIG128_6_1"	"E11_F09_P1-G03_LIG128_6_1"	"SRI"
"E11_F09_P1-G03_LIG330_6_1"	"E11_F09_P1-G03_LIG330_6_1"	"SRI"
"E12_G02_P1-G01_LIG219_6_1"	"E12_G02_P1-G01_LIG219_6_1"	"sAM"
"E12_G02_P1-G04_LIG18_6_1"	"E12_G02_P1-G04_LIG18_6_1"	"SRI"
"E12_G03_P1-G01_LIG178_6_1"	"E12_G03_P1-G01_LIG178_6_1"	"eAM"
"E12_G03_P1-G04_LIG176_6_1"	"E12_G03_P1-G04_LIG176_6_1"	"SRI"
"E12_G08_P1-G02_LIG212_6_1"	"E12_G08_P1-G02_LIG212_6_1"	"eAM"
"E12_G09_P1-G02_LIG119_6_1"	"E12_G09_P1-G02_LIG119_6_1"	"SRI"
"E12_G12_P1-G02_LIG81_6_1"	"E12_G12_P1-G02_LIG81_6_1"	"eAM"
"F02_B02_P1-G04_LIG61_6_1"	"F02_B02_P1-G04_LIG61_6_1"	"SRI"
"F02_B03_P1-G03_LIG303_6_1"	"F02_B03_P1-G03_LIG303_6_1"	"sAM"
"F02_B03_P3-G05_LIG74_6_1"	"F02_B03_P3-G05_LIG74_6_1"	"sAM"
"F02_B04_P1-G01_LIG16_6_1"	"F02_B04_P1-G01_LIG16_6_1"	"SRI"
"F02_B05_P1-G02_LIG220_6_1"	"F02_B05_P1-G02_LIG220_6_1"	"SRI"
"F02_B05_P1-G03_LIG178_6_1"	"F02_B05_P1-G03_LIG178_6_1"	"SRI"
"F02_B06_P1-G02_LIG232_6_1"	"F02_B06_P1-G02_LIG232_6_1"	"eAM"
"F02_B07_P1-G04_LIG231_6_1"	"F02_B07_P1-G04_LIG231_6_1"	"SRI"
"F02_B11_P1-G01_LIG275_6_1"	"F02_B11_P1-G01_LIG275_6_1"	"SRI"
"F02_B11_P3-G05_LIG202_6_1"	"F02_B11_P3-G05_LIG202_6_1"	"SRI"
"F03_C01_P3-G04_LIG83_6_1"	"F03_C01_P3-G04_LIG83_6_1"	"sAM"
"F03_C03_P1-G01_LIG319_6_1"	"F03_C03_P1-G01_LIG319_6_1"	"sAM"
"F03_C05_P1-G03_LIG105_6_1"	"F03_C05_P1-G03_LIG105_6_1"	"SRI"
"F03_C08_P1-G01_LIG4_6_1"	"F03_C08_P1-G01_LIG4_6_1"	"eAM"
"F03_C09_P1-G03_LIG314_6_1"	"F03_C09_P1-G03_LIG314_6_1"	"sAM"
"F03_C09_P3-G05_LIG184_6_1"	"F03_C09_P3-G05_LIG184_6_1"	"SRI"
"F03_C12_P1-G01_LIG203_6_1"	"F03_C12_P1-G01_LIG203_6_1"	"SRI"
"F03_C12_P1-G02_LIG21_6_1"	"F03_C12_P1-G02_LIG21_6_1"	"sAM"
"F05_D06_P1-G02_LIG270_6_1"	"F05_D06_P1-G02_LIG270_6_1"	"sAM"
"F05_D10_P3-G04_LIG351_6_1"	"F05_D10_P3-G04_LIG351_6_1"	"SRI"
"F05_D11_P1-G01_LIG331_6_1"	"F05_D11_P1-G01_LIG331_6_1"	"SRI"
"F06_E02_P3-G05_LIG180_6_1"	"F06_E02_P3-G05_LIG180_6_1"	"SRI"
"F06_E02_P3-G05_LIG328_6_1"	"F06_E02_P3-G05_LIG328_6_1"	"SRI"
"F06_E04_P3-G05_LIG199_6_1"	"F06_E04_P3-G05_LIG199_6_1"	"SRI"
"F06_E07_P1-G04_LIG32_6_1"	"F06_E07_P1-G04_LIG32_6_1"	"sAM"
"F06_E07_P3-G05_LIG13_6_1"	"F06_E07_P3-G05_LIG13_6_1"	"eAM"
"F06_E08_P1-G04_LIG68_6_1"	"F06_E08_P1-G04_LIG68_6_1"	"sAM"
"F06_E09_P1-G02_LIG90_6_1"	"F06_E09_P1-G02_LIG90_6_1"	"SRI"
"F06_E09_P1-G03_LIG118_6_1"	"F06_E09_P1-G03_LIG118_6_1"	"eAM"
"F06_E09_P1-G03_LIG70_6_1"	"F06_E09_P1-G03_LIG70_6_1"	"SRI"
"F06_E11_P1-G01_LIG3_6_1"	"F06_E11_P1-G01_LIG3_6_1"	"sAM"
"F06_E11_P1-G02_LIG77_6_1"	"F06_E11_P1-G02_LIG77_6_1"	"SRI"
"F06_E11_P1-G04_LIG92_6_1"	"F06_E11_P1-G04_LIG92_6_1"	"SRI"
"F10_A02_P3-G04_LIG12_6_1"	"F10_A02_P3-G04_LIG12_6_1"	"SRI"
"F10_A04_P1-G01_LIG331_6_1"	"F10_A04_P1-G01_LIG331_6_1"	"SRI"
"F10_A04_P1-G02_LIG65_6_1"	"F10_A04_P1-G02_LIG65_6_1"	"sAM"
"F10_A06_P1-G01_LIG71_6_1"	"F10_A06_P1-G01_LIG71_6_1"	"SRI"
"F10_A06_P1-G03_LIG154_6_1"	"F10_A06_P1-G03_LIG154_6_1"	"SRI"
"F10_A07_P1-G03_LIG216_6_1"	"F10_A07_P1-G03_LIG216_6_1"	"sAM"
"F10_A07_P1-G04_LIG337_6_1"	"F10_A07_P1-G04_LIG337_6_1"	"sAM"
"F10_A07_P3-G05_LIG99_6_1"	"F10_A07_P3-G05_LIG99_6_1"	"SRI"
"F10_A08_P3-G05_LIG321_6_1"	"F10_A08_P3-G05_LIG321_6_1"	"SRI"
"F10_A11_P1-G01_LIG18_6_1"	"F10_A11_P1-G01_LIG18_6_1"	"sAM"
"F10_A12_P3-G04_LIG116_6_1"	"F10_A12_P3-G04_LIG116_6_1"	"sAM"
"F11_B01_P1-G04_LIG67_6_1"	"F11_B01_P1-G04_LIG67_6_1"	"SRI"
"F11_B02_P1-G02_LIG359_6_1"	"F11_B02_P1-G02_LIG359_6_1"	"SRI"
"F11_B03_P1-G01_LIG150_6_1"	"F11_B03_P1-G01_LIG150_6_1"	"eAM"
"F11_B04_P1-G02_LIG296_6_1"	"F11_B04_P1-G02_LIG296_6_1"	"SRI"
"F11_B07_P3-G04_LIG211_6_1"	"F11_B07_P3-G04_LIG211_6_1"	"SRI"
"F11_B08_P1-G04_LIG205_6_1"	"F11_B08_P1-G04_LIG205_6_1"	"SRI"
"F11_B11_P1-G02_LIG41_6_1"	"F11_B11_P1-G02_LIG41_6_1"	"SRI"
"F11_B12_P1-G02_LIG77_6_1"	"F11_B12_P1-G02_LIG77_6_1"	"sAM"
"F11_B12_P3-G04_LIG26_6_1"	"F11_B12_P3-G04_LIG26_6_1"	"SRI"
"F11_F01_P1-G02_LIG171_6_1"	"F11_F01_P1-G02_LIG171_6_1"	"SRI"
"F11_F04_P1-G04_LIG83_6_1"	"F11_F04_P1-G04_LIG83_6_1"	"SRI"
"F11_F04_P3-G05_LIG63_6_1"	"F11_F04_P3-G05_LIG63_6_1"	"sAM"
"F12_G12_P1-G04_LIG67_6_1"	"F12_G12_P1-G04_LIG67_6_1"	"eAM"
"G02_B01_P1-G01_LIG69_6_1"	"G02_B01_P1-G01_LIG69_6_1"	"sAM"
"G02_B01_P3-G05_LIG3_6_1"	"G02_B01_P3-G05_LIG3_6_1"	"sAM"
"G02_B02_P1-G01_LIG167_6_1"	"G02_B02_P1-G01_LIG167_6_1"	"SRI"
"G02_B07_P1-G02_LIG44_6_1"	"G02_B07_P1-G02_LIG44_6_1"	"sAM"
"G02_B10_P3-G05_LIG256_6_1"	"G02_B10_P3-G05_LIG256_6_1"	"sAM"
"G02_B11_P3-G04_LIG54_6_1"	"G02_B11_P3-G04_LIG54_6_1"	"SRI"
"G02_B12_P1-G02_LIG204_6_1"	"G02_B12_P1-G02_LIG204_6_1"	"SRI"
"G03_C01_P1-G02_LIG250_6_1"	"G03_C01_P1-G02_LIG250_6_1"	"SRI"
"G03_C04_P1-G02_LIG104_6_1"	"G03_C04_P1-G02_LIG104_6_1"	"SRI"
"G03_C04_P3-G04_LIG82_6_1"	"G03_C04_P3-G04_LIG82_6_1"	"eAM"
"G03_C05_P1-G02_LIG291_6_1"	"G03_C05_P1-G02_LIG291_6_1"	"sAM"
"G03_C08_P3-G05_LIG227_6_1"	"G03_C08_P3-G05_LIG227_6_1"	"SRI"
"G03_C10_P1-G01_LIG25_6_1"	"G03_C10_P1-G01_LIG25_6_1"	"sAM"
"G03_C12_P1-G04_LIG292_6_1"	"G03_C12_P1-G04_LIG292_6_1"	"eAM"
"G05_D08_P1-G02_LIG381_6_1"	"G05_D08_P1-G02_LIG381_6_1"	"eAM"
"G05_D12_P1-G02_LIG72_6_1"	"G05_D12_P1-G02_LIG72_6_1"	"SRI"
"G06_E01_P1-G03_LIG38_6_1"	"G06_E01_P1-G03_LIG38_6_1"	"SRI"
"G06_E01_P1-G03_LIG6_6_1"	"G06_E01_P1-G03_LIG6_6_1"	"sAM"
"G06_E02_P1-G03_LIG126_6_1"	"G06_E02_P1-G03_LIG126_6_1"	"SRI"
"G06_E03_P1-G02_LIG140_6_1"	"G06_E03_P1-G02_LIG140_6_1"	"SRI"
"G06_E03_P3-G04_LIG348_6_1"	"G06_E03_P3-G04_LIG348_6_1"	"SRI"
"G06_E04_P1-G03_LIG304_6_1"	"G06_E04_P1-G03_LIG304_6_1"	"eAM"
"G06_E05_P1-G03_LIG77_6_1"	"G06_E05_P1-G03_LIG77_6_1"	"SRI"
"G06_E05_P1-G04_LIG288_6_1"	"G06_E05_P1-G04_LIG288_6_1"	"SRI"
"G06_E06_P3-G05_LIG149_6_1"	"G06_E06_P3-G05_LIG149_6_1"	"sAM"
"G06_E07_P1-G03_LIG244_6_1"	"G06_E07_P1-G03_LIG244_6_1"	"sAM"
"G06_E07_P3-G05_LIG92_6_1"	"G06_E07_P3-G05_LIG92_6_1"	"SRI"
"G06_E09_P3-G05_LIG194_6_1"	"G06_E09_P3-G05_LIG194_6_1"	"SRI"
"G06_E12_P1-G04_LIG241_6_1"	"G06_E12_P1-G04_LIG241_6_1"	"SII"
"G10_A01_P1-G01_LIG129_6_1"	"G10_A01_P1-G01_LIG129_6_1"	"SRI"
"G10_A04_P1-G02_LIG5_6_1"	"G10_A04_P1-G02_LIG5_6_1"	"SRI"
"G10_A04_P3-G04_LIG67_6_1"	"G10_A04_P3-G04_LIG67_6_1"	"SRI"
"G10_A04_P3-G05_LIG205_6_1"	"G10_A04_P3-G05_LIG205_6_1"	"sAM"
"G10_A08_P1-G03_LIG164_6_1"	"G10_A08_P1-G03_LIG164_6_1"	"SRI"
"G10_A08_P1-G04_LIG269_6_1"	"G10_A08_P1-G04_LIG269_6_1"	"SRI"
"G10_A08_P3-G05_LIG286_6_1"	"G10_A08_P3-G05_LIG286_6_1"	"SRI"
"G10_A09_P1-G04_LIG112_6_1"	"G10_A09_P1-G04_LIG112_6_1"	"SRI"
"G10_A10_P1-G03_LIG30_6_1"	"G10_A10_P1-G03_LIG30_6_1"	"SRI"
"G10_A12_P1-G02_LIG303_6_1"	"G10_A12_P1-G02_LIG303_6_1"	"SRI"
"G10_A12_P3-G04_LIG214_6_1"	"G10_A12_P3-G04_LIG214_6_1"	"sAM"
"G11_B01_P1-G04_LIG110_6_1"	"G11_B01_P1-G04_LIG110_6_1"	"SRI"
"G11_B01_P3-G04_LIG49_6_1"	"G11_B01_P3-G04_LIG49_6_1"	"SRI"
"G11_B02_P1-G01_LIG146_6_1"	"G11_B02_P1-G01_LIG146_6_1"	"SRI"
"G11_B02_P3-G05_LIG161_6_1"	"G11_B02_P3-G05_LIG161_6_1"	"SRI"
"G11_B04_P3-G04_LIG255_6_1"	"G11_B04_P3-G04_LIG255_6_1"	"SRI"
"G11_B07_P3-G04_LIG77_6_1"	"G11_B07_P3-G04_LIG77_6_1"	"SRI"
"G11_B09_P1-G04_LIG296_6_1"	"G11_B09_P1-G04_LIG296_6_1"	"SRI"
"G11_B10_P1-G01_LIG197_6_1"	"G11_B10_P1-G01_LIG197_6_1"	"sAM"
"G11_B10_P1-G02_LIG238_6_1"	"G11_B10_P1-G02_LIG238_6_1"	"sAM"
"G11_B11_P1-G01_LIG240_6_1"	"G11_B11_P1-G01_LIG240_6_1"	"SRI"
"G11_F01_P3-G04_LIG183_6_1"	"G11_F01_P3-G04_LIG183_6_1"	"SRI"
"G11_F03_P1-G03_LIG359_6_1"	"G11_F03_P1-G03_LIG359_6_1"	"sAM"
"G11_F03_P1-G03_LIG44_6_1"	"G11_F03_P1-G03_LIG44_6_1"	"SRI"
"G11_F04_P1-G01_LIG304_6_1"	"G11_F04_P1-G01_LIG304_6_1"	"sAM"
"G11_F05_P1-G02_LIG75_6_1"	"G11_F05_P1-G02_LIG75_6_1"	"eAM"
"G11_F08_P3-G04_LIG227_6_1"	"G11_F08_P3-G04_LIG227_6_1"	"SRI"
"G11_F09_P3-G04_LIG49_6_1"	"G11_F09_P3-G04_LIG49_6_1"	"SRI"
"G11_F10_P1-G03_LIG151_6_1"	"G11_F10_P1-G03_LIG151_6_1"	"SRI"
"G11_F10_P1-G03_LIG310_6_1"	"G11_F10_P1-G03_LIG310_6_1"	"SRI"
"G11_F12_P1-G04_LIG205_6_1"	"G11_F12_P1-G04_LIG205_6_1"	"sAM"
"G12_G01_P1-G04_LIG125_6_1"	"G12_G01_P1-G04_LIG125_6_1"	"SRI"
"G12_G09_P1-G02_LIG163_6_1"	"G12_G09_P1-G02_LIG163_6_1"	"SRI"
"H02_B01_P1-G04_LIG6_6_1"	"H02_B01_P1-G04_LIG6_6_1"	"eAM"
"H02_B04_P1-G03_LIG43_6_1"	"H02_B04_P1-G03_LIG43_6_1"	"sAM"
"H02_B05_P1-G01_LIG146_6_1"	"H02_B05_P1-G01_LIG146_6_1"	"SRI"
"H02_B05_P1-G02_LIG357_6_1"	"H02_B05_P1-G02_LIG357_6_1"	"SRI"
"H02_B05_P1-G03_LIG71_6_1"	"H02_B05_P1-G03_LIG71_6_1"	"SRI"
"H02_B07_P1-G01_LIG176_6_1"	"H02_B07_P1-G01_LIG176_6_1"	"sAM"
"H02_B07_P1-G03_LIG28_6_1"	"H02_B07_P1-G03_LIG28_6_1"	"SRI"
"H02_B08_P1-G03_LIG327_6_1"	"H02_B08_P1-G03_LIG327_6_1"	"SRI"
"H02_B09_P1-G03_LIG163_6_1"	"H02_B09_P1-G03_LIG163_6_1"	"SRI"
"H02_B09_P1-G04_LIG172_6_1"	"H02_B09_P1-G04_LIG172_6_1"	"eAM"
"H02_B11_P3-G05_LIG7_6_1"	"H02_B11_P3-G05_LIG7_6_1"	"sAM"
"H02_B12_P3-G04_LIG38_6_1"	"H02_B12_P3-G04_LIG38_6_1"	"SRI"
"H03_C01_P3-G04_LIG10_6_1"	"H03_C01_P3-G04_LIG10_6_1"	"sAM"
"H03_C03_P1-G02_LIG17_6_1"	"H03_C03_P1-G02_LIG17_6_1"	"SRI"
"H03_C07_P1-G01_LIG232_6_1"	"H03_C07_P1-G01_LIG232_6_1"	"SRI"
"H03_C10_P3-G05_LIG71_6_1"	"H03_C10_P3-G05_LIG71_6_1"	"eAM"
"H03_C11_P1-G04_LIG221_6_1"	"H03_C11_P1-G04_LIG221_6_1"	"sAM"
"H03_C12_P1-G04_LIG148_6_1"	"H03_C12_P1-G04_LIG148_6_1"	"SRI"
"H05_D09_P1-G01_LIG213_6_1"	"H05_D09_P1-G01_LIG213_6_1"	"SRI"
"H05_D09_P1-G04_LIG46_6_1"	"H05_D09_P1-G04_LIG46_6_1"	"sAM"
"H05_D11_P1-G04_LIG124_6_1"	"H05_D11_P1-G04_LIG124_6_1"	"SRI"
"H06_E01_P3-G05_LIG58_6_1"	"H06_E01_P3-G05_LIG58_6_1"	"SRI"
"H06_E03_P1-G01_LIG367_6_1"	"H06_E03_P1-G01_LIG367_6_1"	"sAM"
"H06_E03_P1-G02_LIG117_6_1"	"H06_E03_P1-G02_LIG117_6_1"	"SRI"
"H06_E03_P1-G02_LIG213_6_1"	"H06_E03_P1-G02_LIG213_6_1"	"sAM"
"H06_E06_P1-G03_LIG30_6_1"	"H06_E06_P1-G03_LIG30_6_1"	"eAM"
"H06_E06_P1-G04_LIG376_6_1"	"H06_E06_P1-G04_LIG376_6_1"	"SRI"
"H06_E07_P1-G04_LIG129_6_1"	"H06_E07_P1-G04_LIG129_6_1"	"sAM"
"H06_E08_P3-G04_LIG68_6_1"	"H06_E08_P3-G04_LIG68_6_1"	"SRI"
"H06_E10_P1-G01_LIG345_6_1"	"H06_E10_P1-G01_LIG345_6_1"	"eAM"
"H06_E10_P1-G01_LIG62_6_1"	"H06_E10_P1-G01_LIG62_6_1"	"sAM"
"H06_E11_P1-G01_LIG325_6_1"	"H06_E11_P1-G01_LIG325_6_1"	"eAM"
"H06_E12_P1-G02_LIG18_6_1"	"H06_E12_P1-G02_LIG18_6_1"	"SRI"
"H10_A01_P1-G01_LIG239_6_1"	"H10_A01_P1-G01_LIG239_6_1"	"SRI"
"H10_A01_P3-G04_LIG29_6_1"	"H10_A01_P3-G04_LIG29_6_1"	"SRI"
"H10_A04_P1-G04_LIG122_6_1"	"H10_A04_P1-G04_LIG122_6_1"	"SRI"
"H10_A04_P3-G05_LIG197_6_1"	"H10_A04_P3-G05_LIG197_6_1"	"SRI"
"H10_A08_P1-G03_LIG260_6_1"	"H10_A08_P1-G03_LIG260_6_1"	"sAM"
"H10_A09_P1-G01_LIG219_6_1"	"H10_A09_P1-G01_LIG219_6_1"	"eAM"
"H10_A10_P1-G04_LIG374_6_1"	"H10_A10_P1-G04_LIG374_6_1"	"SRI"
"H10_A11_P1-G03_LIG171_6_1"	"H10_A11_P1-G03_LIG171_6_1"	"sAM"
"H10_A11_P1-G04_LIG64_6_1"	"H10_A11_P1-G04_LIG64_6_1"	"SRI"
"H10_A12_P1-G01_LIG170_6_1"	"H10_A12_P1-G01_LIG170_6_1"	"SRI"
"H11_B02_P1-G01_LIG204_6_1"	"H11_B02_P1-G01_LIG204_6_1"	"SRI"
"H11_B02_P1-G02_LIG325_6_1"	"H11_B02_P1-G02_LIG325_6_1"	"sAM"
"H11_B05_P1-G03_LIG197_6_1"	"H11_B05_P1-G03_LIG197_6_1"	"eAM"
"H11_B07_P1-G02_LIG137_6_1"	"H11_B07_P1-G02_LIG137_6_1"	"SRI"
"H11_B10_P1-G03_LIG208_6_1"	"H11_B10_P1-G03_LIG208_6_1"	"SRI"
"H11_B10_P1-G04_LIG227_6_1"	"H11_B10_P1-G04_LIG227_6_1"	"SRI"
"H11_B11_P1-G03_LIG381_6_1"	"H11_B11_P1-G03_LIG381_6_1"	"SRI"
"H11_B11_P3-G05_LIG69_6_1"	"H11_B11_P3-G05_LIG69_6_1"	"SRI"
"H11_B12_P1-G04_LIG338_6_1"	"H11_B12_P1-G04_LIG338_6_1"	"SRI"
"H11_F05_P1-G02_LIG188_6_1"	"H11_F05_P1-G02_LIG188_6_1"	"SRI"
"H11_F10_P1-G02_LIG20_6_1"	"H11_F10_P1-G02_LIG20_6_1"	"SRI"
"H11_F11_P3-G05_LIG209_6_1"	"H11_F11_P3-G05_LIG209_6_1"	"SRI"
"H12_G01_P1-G03_LIG65_6_1"	"H12_G01_P1-G03_LIG65_6_1"	"SRI"
"H12_G05_P1-G03_LIG6_6_1"	"H12_G05_P1-G03_LIG6_6_1"	"sAM"
"H12_G07_P1-G01_LIG94_6_1"	"H12_G07_P1-G01_LIG94_6_1"	"sAM"
"H12_G07_P1-G04_LIG185_6_1"	"H12_G07_P1-G04_LIG185_6_1"	"SRI"
"A10_A01_P3-H04_LIG218_7_1"	"A10_A01_P3-H04_LIG218_7_1"	"SRI"
"A10_A02_P1-H05_LIG47_7_1"	"A10_A02_P1-H05_LIG47_7_1"	"SRI"
"A11_B12_P1-H06_LIG69_7_1"	"A11_B12_P1-H06_LIG69_7_1"	"SRI"
"A11_F02_P1-H05_LIG217_7_1"	"A11_F02_P1-H05_LIG217_7_1"	"SRI"
"A11_F06_P1-H05_LIG381_7_1"	"A11_F06_P1-H05_LIG381_7_1"	"SRI"
"B11_F03_P1-H05_LIG32_7_1"	"B11_F03_P1-H05_LIG32_7_1"	"SRI"
"B12_G01_P1-H06_LIG74_7_1"	"B12_G01_P1-H06_LIG74_7_1"	"SRI"
"B12_G10_P1-H05_LIG10_7_1"	"B12_G10_P1-H05_LIG10_7_1"	"SRI"
"C10_A01_P1-H06_LIG303_7_1"	"C10_A01_P1-H06_LIG303_7_1"	"SRI"
"C11_B03_P1-H06_LIG36_7_1"	"C11_B03_P1-H06_LIG36_7_1"	"SRI"
"C11_F05_P1-H05_LIG289_7_1"	"C11_F05_P1-H05_LIG289_7_1"	"SRI"
"D03_C01_P1-H05_LIG86_7_1"	"D03_C01_P1-H05_LIG86_7_1"	"SRI"
"D06_E02_P1-H06_LIG295_7_1"	"D06_E02_P1-H06_LIG295_7_1"	"SRI"
"D11_F02_P1-H06_LIG145_7_1"	"D11_F02_P1-H06_LIG145_7_1"	"SRI"
"D11_F12_P1-H06_LIG307_7_1"	"D11_F12_P1-H06_LIG307_7_1"	"SRI"
"D12_G07_P1-H06_LIG213_7_1"	"D12_G07_P1-H06_LIG213_7_1"	"SRI"
"E02_B05_P1-H05_LIG40_7_1"	"E02_B05_P1-H05_LIG40_7_1"	"SRI"
"E03_C06_P3-H04_LIG321_7_1"	"E03_C06_P3-H04_LIG321_7_1"	"SRI"
"E05_D01_P1-H05_LIG350_7_1"	"E05_D01_P1-H05_LIG350_7_1"	"SRI"
"E05_D09_P1-H06_LIG212_7_1"	"E05_D09_P1-H06_LIG212_7_1"	"SRI"
"E05_D09_P3-H04_LIG180_7_1"	"E05_D09_P3-H04_LIG180_7_1"	"SRI"
"E06_E03_P3-H04_LIG75_7_1"	"E06_E03_P3-H04_LIG75_7_1"	"SRI"
"E06_E11_P1-H06_LIG105_7_1"	"E06_E11_P1-H06_LIG105_7_1"	"SRI"
"E11_B05_P1-H06_LIG43_7_1"	"E11_B05_P1-H06_LIG43_7_1"	"SRI"
"E11_F06_P3-H04_LIG293_7_1"	"E11_F06_P3-H04_LIG293_7_1"	"SRI"
"F02_B09_P1-H06_LIG351_7_1"	"F02_B09_P1-H06_LIG351_7_1"	"SRI"
"F02_B10_P3-H04_LIG205_7_1"	"F02_B10_P3-H04_LIG205_7_1"	"SRI"
"F11_B06_P3-H04_LIG129_7_1"	"F11_B06_P3-H04_LIG129_7_1"	"SRI"
"F11_B08_P1-H06_LIG335_7_1"	"F11_B08_P1-H06_LIG335_7_1"	"SRI"
"F11_B10_P3-H04_LIG232_7_1"	"F11_B10_P3-H04_LIG232_7_1"	"SRI"
"F11_F10_P3-H04_LIG106_7_1"	"F11_F10_P3-H04_LIG106_7_1"	"SRI"
"F12_G03_P1-H06_LIG331_7_1"	"F12_G03_P1-H06_LIG331_7_1"	"SRI"
"G02_B08_P1-H05_LIG281_7_1"	"G02_B08_P1-H05_LIG281_7_1"	"SRI"
"G02_B09_P3-H04_LIG132_7_1"	"G02_B09_P3-H04_LIG132_7_1"	"SRI"
"G03_C08_P1-H05_LIG170_7_1"	"G03_C08_P1-H05_LIG170_7_1"	"SRI"
"G05_D06_P1-H06_LIG125_7_1"	"G05_D06_P1-H06_LIG125_7_1"	"SRI"
"G10_A05_P1-H06_LIG285_7_1"	"G10_A05_P1-H06_LIG285_7_1"	"SRI"
"G11_F03_P3-H04_LIG286_7_1"	"G11_F03_P3-H04_LIG286_7_1"	"SRI"
"H02_B10_P1-H05_LIG22_7_1"	"H02_B10_P1-H05_LIG22_7_1"	"SRI"
"H03_C08_P1-H06_LIG358_7_1"	"H03_C08_P1-H06_LIG358_7_1"	"SRI"
"H05_D07_P1-H06_LIG239_7_1"	"H05_D07_P1-H06_LIG239_7_1"	"SII"
"H06_E12_P1-H06_LIG12_7_1"	"H06_E12_P1-H06_LIG12_7_1"	"SRI"
"H11_B05_P1-H06_LIG362_7_1"	"H11_B05_P1-H06_LIG362_7_1"	"SRI"
"A02_B02_P1-H03_LIG77_8_1"	"A02_B02_P1-H03_LIG77_8_1"	"SRI"
"A02_B03_P3-H01_LIG327_8_1"	"A02_B03_P3-H01_LIG327_8_1"	"SRI"
"A02_B07_P3-H02_LIG266_8_1"	"A02_B07_P3-H02_LIG266_8_1"	"SRI"
"A02_B08_P1-H03_LIG153_8_1"	"A02_B08_P1-H03_LIG153_8_1"	"SRI"
"A02_B12_P3-H01_LIG64_8_1"	"A02_B12_P3-H01_LIG64_8_1"	"SRI"
"A03_C01_P3-G12_LIG157_8_1"	"A03_C01_P3-G12_LIG157_8_1"	"SRI"
"A03_C06_P1-H03_LIG328_8_1"	"A03_C06_P1-H03_LIG328_8_1"	"SRI"
"A03_C06_P1-H04_LIG362_8_1"	"A03_C06_P1-H04_LIG362_8_1"	"SRI"
"A03_C06_P3-G12_LIG278_8_1"	"A03_C06_P3-G12_LIG278_8_1"	"SRI"
"A03_C10_P1-H04_LIG279_8_1"	"A03_C10_P1-H04_LIG279_8_1"	"SRI"
"A05_D03_P3-G12_LIG175_8_1"	"A05_D03_P3-G12_LIG175_8_1"	"SRI"
"A05_D03_P3-H02_LIG178_8_1"	"A05_D03_P3-H02_LIG178_8_1"	"SRI"
"A05_D08_P1-H03_LIG184_8_1"	"A05_D08_P1-H03_LIG184_8_1"	"SRI"
"A05_D11_P3-G12_LIG211_8_1"	"A05_D11_P3-G12_LIG211_8_1"	"SRI"
"A05_D12_P3-H01_LIG25_8_1"	"A05_D12_P3-H01_LIG25_8_1"	"SRI"
