"Barcode"	"Cluster"
"D03_B11_P4-E05_LIG70_4_1"	"D03_B11_P4-E05_LIG70_4_1"	"SRI"
"D06_E04_P4-E05_LIG332_4_1"	"D06_E04_P4-E05_LIG332_4_1"	"SRI"
"D06_E06_P4-E05_LIG136_4_1"	"D06_E06_P4-E05_LIG136_4_1"	"SRI"
"D06_E08_P4-E05_LIG51_4_1"	"D06_E08_P4-E05_LIG51_4_1"	"SRI"
"D07_D02_P4-E06_LIG84_4_1"	"D07_D02_P4-E06_LIG84_4_1"	"SRI"
"D07_D04_P4-E05_LIG58_4_1"	"D07_D04_P4-E05_LIG58_4_1"	"SRI"
"D07_D08_P4-E04_LIG1_4_1"	"D07_D08_P4-E04_LIG1_4_1"	"SRI"
"D07_D08_P4-E06_LIG14_4_1"	"D07_D08_P4-E06_LIG14_4_1"	"SRI"
"D08_G06_P4-E05_LIG186_4_1"	"D08_G06_P4-E05_LIG186_4_1"	"SRI"
"D08_G07_P4-E04_LIG91_4_1"	"D08_G07_P4-E04_LIG91_4_1"	"SRI"
"D08_G07_P4-E06_LIG64_4_1"	"D08_G07_P4-E06_LIG64_4_1"	"SRI"
"D08_G10_P4-E05_LIG30_4_1"	"D08_G10_P4-E05_LIG30_4_1"	"SRI"
"D08_G11_P4-E04_LIG93_4_1"	"D08_G11_P4-E04_LIG93_4_1"	"SRI"
"D09_H03_P4-E05_LIG163_4_1"	"D09_H03_P4-E05_LIG163_4_1"	"SRI"
"D11_B01_P4-E04_LIG237_4_1"	"D11_B01_P4-E04_LIG237_4_1"	"SRI"
"D11_B04_P4-E06_LIG93_4_1"	"D11_B04_P4-E06_LIG93_4_1"	"SRI"
"D11_B09_P4-E05_LIG168_4_1"	"D11_B09_P4-E05_LIG168_4_1"	"SRI"
"D11_B10_P4-E05_LIG50_4_1"	"D11_B10_P4-E05_LIG50_4_1"	"SRI"
"D11_B11_P4-E06_LIG370_4_1"	"D11_B11_P4-E06_LIG370_4_1"	"SRI"
"E01_F11_P4-E05_LIG156_4_1"	"E01_F11_P4-E05_LIG156_4_1"	"SRI"
"E01_F12_P4-E05_LIG10_4_1"	"E01_F12_P4-E05_LIG10_4_1"	"SRI"
"E02_A01_P4-E05_LIG317_4_1"	"E02_A01_P4-E05_LIG317_4_1"	"SRI"
"E02_A06_P4-E04_LIG76_4_1"	"E02_A06_P4-E04_LIG76_4_1"	"SRI"
"E02_A08_P4-E06_LIG233_4_1"	"E02_A08_P4-E06_LIG233_4_1"	"SRI"
"E03_B09_P4-E06_LIG107_4_1"	"E03_B09_P4-E06_LIG107_4_1"	"SRI"
"E03_B11_P4-E06_LIG96_4_1"	"E03_B11_P4-E06_LIG96_4_1"	"SRI"
"E05_C01_P4-E04_LIG287_4_1"	"E05_C01_P4-E04_LIG287_4_1"	"SRI"
"E06_E03_P4-E05_LIG158_4_1"	"E06_E03_P4-E05_LIG158_4_1"	"SRI"
"E06_E04_P4-E06_LIG298_4_1"	"E06_E04_P4-E06_LIG298_4_1"	"SRI"
"E06_E08_P4-E05_LIG149_4_1"	"E06_E08_P4-E05_LIG149_4_1"	"SRI"
"E07_D03_P4-E05_LIG272_4_1"	"E07_D03_P4-E05_LIG272_4_1"	"SRI"
"E08_G06_P4-E06_LIG29_4_1"	"E08_G06_P4-E06_LIG29_4_1"	"SRI"
"E08_G07_P4-E04_LIG148_4_1"	"E08_G07_P4-E04_LIG148_4_1"	"SII"
"E08_G09_P4-E04_LIG54_4_1"	"E08_G09_P4-E04_LIG54_4_1"	"SII"
"E09_H02_P4-E06_LIG319_4_1"	"E09_H02_P4-E06_LIG319_4_1"	"SRI"
"E09_H03_P4-E04_LIG164_4_1"	"E09_H03_P4-E04_LIG164_4_1"	"SRI"
